prompt_idx,chunk_size,e2e_time,prefill_time,decode_time,prompt_tokens
1,16,7.753346989862621,2.0198631908278912,5.73348379903473,1602
1,16,14.917213014094159,3.9010098571889102,11.016203156905249,1364
1,16,17.227624461054802,6.127660127123818,11.099964333930984,1473
1,16,19.605320408940315,8.473703792085871,11.131616616854444,1473
1,16,21.932289310032502,10.938778995070606,10.993510314961895,1473
1,16,22.26213006209582,16.26363807800226,5.998491984093562,1438
1,16,24.279493756126612,13.5411581620574,10.738335594069213,1438
1,16,30.049490632954985,19.9735006748233,10.075989958131686,2027
1,32,12.104865989880636,1.0485598798841238,11.056306109996513,1602
1,32,12.370159910060465,2.9928490209858865,9.377310889074579,1364
1,32,13.017853705910966,1.9616255019791424,11.056228203931823,1473
1,32,14.361775446915999,6.371047775959596,7.990727670956403,1473
1,32,15.03833012515679,4.058388555189595,10.979941569967195,1473
1,32,15.747422714019194,7.58688916801475,8.160533546004444,1438
1,32,16.09229165990837,5.209877498913556,10.882414160994813,1438
1,32,19.777206987142563,9.428042316110805,10.349164671031758,2027
1,64,9.752733958885074,0.5697905428241938,9.18294341606088,1602
1,64,12.001147118164226,1.0055096340365708,10.995637484127656,1364
1,64,12.498512808000669,1.513122305041179,10.98539050295949,1473
1,64,12.9909624310676,2.0271158521063626,10.963846578961238,1473
1,64,13.245886587072164,3.6674531931057572,9.578433393966407,1473
1,64,13.498125870944932,2.5697808088734746,10.928345062071458,1438
1,64,13.973446279065683,3.0970448940061033,10.87640138505958,1438
1,64,15.140072523150593,4.457452658098191,10.682619865052402,2027
1,128,8.028721597976983,1.5431013400666416,6.485620257910341,1602
1,128,8.844073502114043,0.5468004532158375,8.297273048898205,1364
1,128,9.650581290014088,1.0272627510130405,8.623318539001048,1473
1,128,11.126345966011286,0.32217297703027725,10.804172988981009,1473
1,128,11.566943872952834,0.7760064259637147,10.790937446989119,1473
1,128,12.04091233201325,1.2818424219731241,10.759069910040125,1438
1,128,12.508526252117008,1.8034279639832675,10.70509828813374,1438
1,128,12.81743261916563,2.1584236051421613,10.659009014023468,2027
1,256,7.651956349145621,0.9473417331464589,6.704614615999162,1602
1,256,11.100548173068091,0.22346486197784543,10.877083311090246,1364
1,256,11.19836891698651,0.32980548520572484,10.868563431780785,1473
1,256,11.317958166822791,0.4555664409417659,10.862391725881025,1473
1,256,11.437389981932938,0.5823736449237913,10.855016337009147,1473
1,256,11.553326106863096,0.7103225928731263,10.84300351398997,1438
1,256,11.649030422093347,0.8177339700050652,10.831296452088282,1438
1,256,11.914463488850743,1.1240579260047525,10.79040556284599,2027
1,512,6.583345985971391,0.25977845792658627,6.323567528044805,1602
1,512,8.250752476044,0.19821614609099925,8.052536329953,1364
1,512,11.262069805059582,0.3507483669091016,10.91132143815048,1473
1,512,11.319645226933062,0.4324981439858675,10.887147082947195,1473
1,512,11.376901233103126,0.512999348109588,10.863901884993538,1473
1,512,11.432974916184321,0.594963668147102,10.838011248037219,1438
1,512,11.488126624841243,0.6780635130126029,10.81006311182864,1438
1,512,11.562686132034287,0.7850061932113022,10.777679938822985,2027
1,768,7.070409210165963,0.19204374914988875,6.878365461016074,1602
1,768,8.152572097023949,0.22880547284148633,7.923766624182463,1364
1,768,11.203810169827193,0.30964205297641456,10.894168116850778,1473
1,768,11.242686721030623,0.3828081740066409,10.859878547023982,1473
1,768,11.27913877600804,0.44827153300866485,10.830867242999375,1473
1,768,11.315768133150414,0.5140950169879943,10.80167311616242,1438
1,768,11.351222260855138,0.5799351809546351,10.771287079900503,1438
1,768,11.405961026903242,0.6727396419737488,10.733221384929493,2027
1,896,5.98366817785427,0.6262314328923821,5.357436744961888,1602
1,896,11.351005154894665,0.15726180793717504,11.19374334695749,1364
1,896,11.388576203025877,0.24528842908330262,11.143287773942575,1473
1,896,11.406158446101472,0.28546689613722265,11.12069154996425,1473
1,896,11.44227516418323,0.3644271260127425,11.077848038170487,1473
1,896,11.47995570790954,0.4397168289870024,11.040238878922537,1438
1,896,11.496841256972402,0.4750054480973631,11.02183580887504,1438
1,896,11.531712444964796,0.5480089341290295,10.983703510835767,2027
1,960,5.99010454909876,0.25645273504778743,5.7336518140509725,1602
1,960,10.184352662879974,0.5063625208567828,9.67799014202319,1364
1,960,11.20133118191734,0.16201393795199692,11.039317243965343,1473
1,960,11.252466646954417,0.2991813828703016,10.953285264084116,1473
1,960,11.288420028984547,0.3915705760009587,10.896849452983588,1473
1,960,11.30488407984376,0.42697140481323004,10.87791267503053,1438
1,960,11.356225732015446,0.5425036048982292,10.813722127117217,1438
1,960,11.391248371917754,0.6207658490166068,10.770482522901148,2027
1,992,7.536070592934266,0.16934972279705107,7.366720870137215,1602
1,992,9.294620041968301,0.22044501593336463,9.074175026034936,1364
1,992,11.312074266839772,0.31954783177934587,10.992526435060427,1473
1,992,11.328889505937696,0.36185500398278236,10.967034501954913,1473
1,992,11.365149366902187,0.4465069880243391,10.918642378877848,1473
1,992,11.381939337821677,0.4887264249846339,10.893212912837043,1438
1,992,11.417645904002711,0.5746046339627355,10.843041270039976,1438
1,992,11.452200480969623,0.6452624688390642,10.806938012130558,2027
1,1008,5.726372181205079,0.1693008120637387,5.55707136914134,1602
1,1008,8.289308513049036,0.4441567179746926,7.845151795074344,1364
1,1008,10.984345469856635,0.21916107297874987,10.765184396877885,1473
1,1008,11.330579617992043,0.3188547759782523,11.011724842013791,1473
1,1008,11.348106883000582,0.35944000305607915,10.988666879944503,1473
1,1008,11.400509569095448,0.48417160799726844,10.91633796109818,1438
