chunk_size,avg_e2e_time,throughput,prompt_tokens
32,4.571098408661783,0.21876579994539128,4094
64,3.3312306525185704,0.3001893607228764,4094
128,2.8556449487805367,0.3501835900247459,4094
256,2.637301263399422,0.37917549044473686,4094
512,2.5215630969032645,0.39657940791888235,4094
1024,2.5068778321146965,0.3989025660482394,4094
2048,2.502981748431921,0.39952348858575754,4094
4096,2.5069413809105754,0.3988924542131808,4094
