prompt_idx,chunk_size,e2e_time,prompt_tokens
1,100,11.861991722136736,4094
1,100,12.425337119027972,4094
1,100,13.302947802469134,4094
1,100,14.166450589895248,4094
1,200,3.4906597854569554,4094
1,200,12.385916942730546,4094
1,200,13.222295840270817,4094
1,200,13.645014355890453,4094
1,300,12.362418252043426,4094
1,300,12.646078949794173,4094
1,300,12.93026649672538,4094
1,300,13.187330367043614,4094
1,400,4.033930324018002,4094
1,400,12.338301719166338,4094
1,400,12.536897648125887,4094
1,400,12.948368024080992,4094
1,500,3.095724697224796,4094
1,500,12.567471905611455,4094
1,500,12.726302448660135,4094
1,500,12.884219778701663,4094
1,600,9.36293554585427,4094
1,600,12.556016298010945,4094
1,600,12.694495976902544,4094
1,600,12.833279787562788,4094
1,700,12.631726523861289,4094
1,700,12.748822556808591,4094
1,700,12.864941866137087,4094
1,700,12.978966081514955,4094
1,800,12.496154744178057,4094
1,800,12.591649032197893,4094
1,800,12.685682908631861,4094
1,800,12.77856653276831,4094
1,900,12.572354816831648,4094
1,900,12.668437355197966,4094
1,900,12.744274190627038,4094
1,900,12.838755522854626,4094
1,1000,12.582164533436298,4094
1,1000,12.654978312551975,4094
1,1000,12.730155561119318,4094
1,1000,12.804765013046563,4094
