prompt_idx,chunk_size,avg_prompt_tokens,avg_e2e_time,avg_prefill_time,avg_decode_time,avg_token_per_sec
1,1,4094.0,231.60828197194496,223.52079908916494,8.087482882780023,16.09354765901565
1,2,4094.0,125.52421953319572,114.4152115432662,11.109007989929523,20.642759339558545
1,4,4094.0,68.51638901984552,57.452103513118345,11.064285506727174,26.730871044390938
1,8,4094.0,40.29761087131919,29.242106903286185,11.055503968033008,27.210746938006665
1,16,4094.0,25.97707977425307,14.743812932749279,11.233266841503792,18.362854518871504
1,32,4094.0,14.510048928204924,6.981256636499893,7.528792291705031,44.498700980396755
1,64,4094.0,14.524382685194723,3.470301916182507,11.054080769012216,25.27561533845789
1,128,4094.0,13.312079276482109,2.057633359974716,11.254445916507393,33.81815480615255
1,256,4094.0,11.302556477021426,1.5828923032386228,9.719664173782803,30.941905304786218
1,512,4094.0,12.855419071449433,1.2608329765498638,11.594586094899569,22.554654917691987
1,1024,4094.0,12.705867906683125,1.1877540267887525,11.518113879894372,31.05028636516202
1,2048,4094.0,12.643974400765728,1.1010499172843993,11.542924483481329,28.008665521562357
1,4096,4094.0,12.891821475699544,1.1221271329559386,11.769694342743605,21.815518665797203
